房屋标题,简述,浏览量,房屋总价,元/平,房屋户型,房本面积,房屋朝向,所在楼层,装修情况,产权年限,建筑年代,核心卖点,业主心态,服务介绍,核验编码,参考首付,小区均价,所在商圈,物业费,容积率,绿化率,车位信息,室,厅,卫,房屋朝向num,楼层高低num,楼层层数num,装修情况num,产权年限num,建筑年代num,参考首付num,月供num,小区均价num,所在商圈1num,所在商圈2num,recommend0,recommend1,recommend2,recommend3,recommend4,recommend5,recommend6,recommend7,recommend8,recommend9
原始毛坯109平大三房 可改四房 带信德学校地铁禾花站,原始毛坯109平大三房 可改四房 带信德学校地铁禾花站;售价：378.88万元（35049元/㎡）；房贷：首付约113万月供约（14111元）；产权：商品房（70年产权）2015年建；类型：普通住宅 null 低层/共31层；装修：毛坯朝西北；,19,378.88,35049,3室2厅2卫,108.1,西北,低层/共31层,毛坯,70年,2015年,该物业位于融湖中心城一期，该楼盘共分五期，一期有楼盘大花园优美道路便捷的优势，与信德学校一路之隔。该房源户型方正，带大入户花园，布局充分合理，空间比较大原始毛坯可改造成四房，产权清晰无纠纷有钥匙随时可看。如您对此房有意向可联系看房，我会给您计算一张很明确的税费表,业主有别的房子，买回来到现在没太多闲钱装修，所以打算卖了置换一套精装修的,经纪人服务：有钥匙收取服务费：最高56832元(≤1.5%)相信从房源介绍和图片您会有所了解，但不会全面了解。可以来电话约我看房，给您详细介绍，毕竟房子还是要亲自感受下，如果您觉得这套房源不合适，您还是可以联系我的，我会为您匹配更合适的房源，合适才会成为好的！如您对此房源有意向，我会给您一张很详细的税费单！本人承诺该房源真实有效，图片真实！房源真实！价格真实！绝不以虚假房源吸引客户，这样不仅浪费您的时间，更是失去了您的信任,深圳市城乡房产管理局：暂未完成认证,113.664万（月供10872元/月）,41552.0元/㎡,龙岗区－平湖,3.20元/平米/月,3.96,37.44,总停车位1810个（地上124 个车位，地下1686 车位）,3,2,2,6,3,31,1,70,2015,113,10872,41552,8,7,391,171,20,321,315,127,75,92,299,115
龙华民乐站 民乐翠园小区 刚需两房 户型方正 首付20万精装,龙华民乐站 民乐翠园小区 刚需两房 户型方正 首付20万精装;售价：68万元（12477元/㎡）；房贷：首付约20万月供约（2547元）；产权：商品房（70年产权）2015年建；类型：普通住宅 板楼 高层/共11层；装修：豪华装修朝南；,279,68.0,12477,2室2厅1卫,54.5,南,高层/共11层,豪华装修,70年,2015年,核心卖点 :一、房源优势1、正南房型楼 户型正没有死角2、挑高客厅3米高 3.6米开间 宽敞大气3、装修情况：精装装修提包入住 业主从新装修的二、户型介绍：朝向：正南向，格局方正，使用率超赞1、客厅宽敞舒适、阳光非常充足2、卧室搭配的很新颖，使用率非常之高三、社区介绍：环境优美适宜居住人文素质高物业管理完善1、本楼建成于房屋年代：2010年社区环境好2、小区是多层社区 密度低3、小区的非常小，属于低密度社区，非常适宜居住4、小区的绿化率高，让您感受花园一样的家,业主是香港人  名下有几套这样的房子 现在也是想买套福田口岸的房子 全款付的 不能贷款 目前钱还差点 这套房子也是低于市场出售的,收取服务费：最高3400元(≤0.5%)经纪人服务：有钥匙、免费保洁一次收取：高3400元(≤0.5)本人从事地产行业已经4年了主要做的就是深圳的红本和村委对这些房子的交易程序比较了解知道什么样的村委房可以买那些不能买的可以保障你利益,深圳市城乡房产管理局：暂未完成认证,20.4万（月供1950元/月）,13402.0元/㎡,龙华新区－梅林关口,0.80元/平米/月,1.6,30.0,2112,2,2,1,4,1,11,4,70,2015,20,1950,13402,10,1,100,99,193,225,40,138,32,339,296,282
中心区的地标位置 临地铁口 户型方正 住家精装修 拎包入住,中心区的地标位置 临地铁口 户型方正 住家精装修 拎包入住;售价：370万元（36826元/㎡）；房贷：首付约111万月供约（13746元）；产权：商品房（70年产权）2006年建；类型：普通住宅 板楼 中层/共20层；装修：精装修朝东南；,4,370.0,36826,3室2厅2卫,100.47,东南,中层/共20层,精装修,70年,2006年,"位于布吉中心区的核心地带，布吉新商业中心区的地标位置。南接布吉镇政府以及20000平方米市政绿化广场，东临龙岗大道，西临布吉中心区规划新区，北赏石芽岭秀丽景色；具有十分出众的自然以及人文资源。地铁口物业。文化一体中心（图书馆、电影院），幼儿园，文景小学，金融商业，市政设施，餐饮娱乐，电子商城等云集于此,下班休闲放松不用烦。布吉高档明星楼盘，内有会所，健身房，美容美发，24便利店，泳池等设施。房子是业主重新装修的高楼层客厅面积非常宽广居家的选择每一个房间都是有足够大的面积采光也好业主非常有心出售，目前性价比很高.",业主是因为要减压，急着卖出，价格比市场价低30万,收取服务费：最高111000元(≤3%)汇丰深惠地产代理有限公司成立于2008年10月至今已11年历程，专业代理房地产公司；汇丰深惠地产以全新的经营思路和服务意识树立自己的独特品牌，“诚信为生存之本、创新为发展源泉”，本着高起点、高标准、高规划的方针。本人于2002年从事房地产行业至今，有深厚的房地产知识及丰富的从业经验。我将会为你推荐，良好价格实惠的房源，将会为你提供良好的全程服务，包括：看房，产权确定，签订合同，申请按揭，办理过户，领取房产证，结清水电，直到交房为止。,深圳市城乡房产管理局：暂未完成认证,111万（月供10618元/月）,39692.0元/㎡,布吉－布吉街,1.99元/平米/月,5.7,20.0,停车位一共有40个在房子的周边,3,2,2,9,2,20,3,70,2006,111,10618,39692,3,21,89,130,397,340,107,217,375,115,365,162
福田4栋花园洋房离地铁600米，全部精装修交房分期2年,福田4栋花园洋房离地铁600米，全部精装修交房分期2年;售价：136万元（28936元/㎡）；房贷：首付约40万月供约（5095元）；产权：经济适用房（70年产权）2010年建；类型：普通住宅 板楼 低层/共8层；装修：精装修朝东；,72,136.0,28936,1室1厅1卫,47.0,东,低层/共8层,精装修,70年,2010年,开启福田＂城“熟生活    【基本参数】    物业费:4.8元/月/平    交房时间:2019年9月30日    交楼标准:精装    方式：首付6成，分期2年，利息4.5    轨道交通:9号线孖岭C出口   起价：2.85万/㎡,在售产品：    30-48㎡一房约总价:88万起    63-83㎡二房约总价:180万起    项目卖点:1、性价比高:总价不到100万的一房，,收取服务费：最高6800元(≤0.5%)租金可达4000-5000元/月；总价不到200万的二房，租金可达6500-7000元/月。,深圳市城乡房产管理局：暂未完成认证,40.8万（月供3902元/月）,28334.0元/㎡,福田－下梅林,2.60元/平米/月,2.5,20.0,有车库,1,1,1,3,3,8,3,70,2010,40,3902,28334,6,24,264,46,251,66,182,310,17,347,12,364
中粮一品澜山花园127平南北 家具电器齐全干净 通风 采光好,中粮一品澜山花园127平南北 家具电器齐全干净 通风 采光好;售价：320万元（25129元/㎡）；房贷：首付约96万月供约（11888元）；产权：商品房（70年产权）2013年建；类型：普通住宅 板楼 低层/共32层；装修：精装修朝西南；,2,320.0,25129,4室2厅2卫,127.34,西南,低层/共32层,精装修,70年,2013年,1.中粮一品澜山位于坪山丹梓中路与兰景路的交汇处。2.小区采用园林设计，前面别墅，小高层建筑，后面高层洋房环绕。3.位置，一线景观，直俯坪山光祖公园。交通四通八达。4.14号地铁线建造于此（步行500米），两公交站直达坪山高铁站。楼下丹梓大道直上高速。5.小区带外国语学位，入住即入读。,1.户型结构：户型方正，楼层佳，采光足，南北通透！房子使用率高达90，住在里面非常舒适！2.产权状况：产权清晰，无纠纷、个人产权，红本在手，过户交易迅速3.税费明细：满五年唯一住宅、无抵押状态，税费少。,收取服务费：最高16000元(≤0.5%)经纪人服务：有钥匙、免费保洁一次收取：高10500元(≤0.5%)本人从事房地产两年，会尽大的全力帮助到您找到心意的房子。坪山片区的规划以及发展非常的熟悉，也望能够更好的帮助到您。如觉得我还可以，觉得房子不满意，可以拨打我电话或者私聊，根据您需求给您匹配适合的房源。,深圳市城乡房产管理局：暂未完成认证,96万（月供9185元/月）,26823.0元/㎡,坪山新区－坑梓,3.10元/平米/月,2.35,35.0,980个,4,2,2,7,3,32,3,70,2013,96,9185,26823,1,26,188,39,203,243,114,220,375,367,248,144
龙华汽车站旁  配套齐全 玉翠新村  精装2房 不到70万,龙华汽车站旁  配套齐全 玉翠新村  精装2房 不到70万;售价：66万元（11379元/㎡）；房贷：首付约19万月供约（2494元）；产权：商品房（70年产权）2012年建；类型：普通住宅 板楼 中层/共13层；装修：精装修朝南北；,27,66.0,11379,2室2厅1卫,58.0,北,中层/共13层,精装修,70年,2012年,村/委统建楼过户有村/委盖章村长签字律师楼律师公证一：村/委批地，有村/委盖章，房屋带精装修，一手新房，安全可靠。二：购房有合同，合同含（开发商盖章，负责人盖章，律师事务所见证合书同）三：房屋产权清晰，两证一书（土地使用证，报建许可证，律师楼律师公正书。）四：有历史土地证明，有房屋建设证明。,业主诚心出售，已在东莞那边看好房子，着急置换。,经纪人服务：有钥匙、免费保洁一次收取服务费：最高3300元(≤0.5%)①真诚为您：应为专业，所以信赖②以诚待人，至上，是我们的宗旨③我的愿望：希望每一个人都有一个温馨的家④我的介绍：从事房行业3年多，经验十足⑤我的观点：正直、诚信、责任、感恩、使命⑥我的格言：用尽的能量帮助每个需要帮助的⑦我的使命：帮您节省每一分钱，让您的每一分钱都有价值,深圳市城乡房产管理局：暂未完成认证,19.8万（月供1895元/月）,11941.0元/㎡,龙华新区－龙华,1.20元/平米/月,4.5,25.0,500个停车位,2,2,1,8,2,13,3,70,2012,19,1895,11941,10,2,99,225,172,100,382,40,306,296,102,32
龙华地铁站金碧世家房 业主急售,龙华地铁站金碧世家房 业主急售;售价：370万元（40852元/㎡）；房贷：首付约110万月供约（13799元）；产权：其他（70年产权）2007年建；类型：普通住宅 板楼 中层/共7层；装修：简单装修朝东南；,7,370.0,40852,3室2厅2卫,90.57,东南,中层/共7层,简单装修,70年,2007年,金碧世家位于龙华老城中 心区，为多层精致住宅社区，户型以两房、三房为主，面积32.79－90.68，专为378位白领人士度身订做，是广大工薪白领安居乐业的理想之地。小区位于四号地铁龙华站的附近，金鹏酒店对面，分为两期，一期的入伙时间为1997年，分一栋二栋，共有7层，每栋有三个单元.一梯两户，二期的入伙时间为2001年，分三四五栋.三栋有16个单元，每个单元分一梯两户和四户。四五栋有6层，一梯两户。,业主诚心出售此房，欢迎您看房，如需了解其他信息请与我联系。,收取服务费：最高74000元(≤2%)本人做房产多年，一直本着专业的房产知识，为您服务，我会在短的时间内帮您买好满意的房子，不让您错失任何好房子，更不让您每天为买房的事烦心，欢迎随时拨打我电话。,深圳市城乡房产管理局：暂未完成认证,111万（月供10618元/月）,44049.0元/㎡,龙华新区－龙华,0.80元/平米/月,1.6,36.0,100个停车位（地下的） ：地下200元/月，地上150元/月！,3,2,2,9,2,7,2,70,2007,111,10618,44049,10,2,89,354,217,91,336,232,162,107,274,397
置地逸轩高档小区精装一房自带泳池近国贸近口岸交通生活配套方便,置地逸轩高档小区精装一房自带泳池近国贸近口岸交通生活配套方便;售价：208万元（53333元/㎡）；房贷：首付约63万月供约（7696元）；产权：商品房（70年产权）2005年建；类型：普通住宅 塔楼 低层/共33层；装修：精装修朝西；,13,208.0,53333,1室1厅1卫,39.0,西,低层/共33层,精装修,70年,2005年,房源亮点：双关口物业（罗湖，文锦渡）双关口，地铁1号线罗湖站，地铁9号线人民南站，火车站，汽车站，佳宁娜、金光华，国贸，沃尔玛交通便利，购物娱乐一套试保障户型简介：房子使用面积很高，显得格外温馨，环境好，品质高，带有精致装修，配套齐全，户型方正，采光充足，楼层高，环境安静，视野广阔装修描述：简约干净时尚的装修风格，业主保养好，可以直接拎包入住,业主刚需换房需要买新房是，所以以实惠的价格出手！,收取服务费：最高20800元(≤1%)1.签约前：为您匹配适合您的房子，进行房源产权认正，确保交易顺利！2.签约中:签三方约，阳光保障，精准计算购房过程中所产生的房源。3.签约后：陪同您到交易中心完成监管委托，按揭，过户，缴税，取证，交房等，为您提供专业无忧的服务！置业顾问姜旺林竭诚为您服务，买房子是一件大事，所以您一定要选择有经验和专业的经纪人！这样不仅让您买到称心如意的房子，还会为您节省大量的宝贵时间和精力,深圳市城乡房产管理局：暂未完成认证,62.4万（月供5968元/月）,58924.0元/㎡,罗湖－人民南,3.60元/平米/月,9.1,35.0,地下车位400个，月卡250元每月，按季度支付。每天最高收费15元，大型货运车禁止入内,1,1,1,5,3,33,3,70,2005,62,5968,58924,7,13,139,288,71,343,387,310,208,142,72,215
莲花北村西南向三房，户型方正采光通风好,莲花北村西南向三房，户型方正采光通风好;售价：614万元（59427元/㎡）；房贷：首付约185万月供约（22768元）；产权：商品房（70年产权）1996年建；类型：普通住宅 塔楼 高层/共28层；装修：简单装修朝西南；,6,614.0,59427,3室2厅1卫,103.32,西南,高层/共28层,简单装修,70年,1996年,房源亮点：莲花北村，项目位于福田区。离莲花山桃花林只有一路之遥。莲花北村西至新洲路，东至雨田路，北至北环大道，南至莲花路户型简介：户型方正，主卧出阳台，楼层好，采光没有问题装修描述：房子是精装修的，保养得挺好的。,业主急换房，腾名额，产权满五年，随时看房,经纪人服务：有钥匙、免费保洁一次收取服务费：最高92100元(≤1.5%)我们乐有家是华南地区大中介房产公司，有大量房源，公司个推出7诺7保，为您购房租房提供安全安心保障，本人从事房产行业4年，精通各种专业知识，熟悉房产交易各个流程。,深圳市城乡房产管理局：暂未完成认证,184.2万（月供17620元/月）,70194.0元/㎡,福田－莲花北村,2.80元/平米/月,2.3,45.0,地下停车位500多个，2000多个地面车位,3,2,1,7,1,28,2,70,1996,184,17620,70194,6,67,400,265,268,26,183,291,33,7,28,390
飞扬时代大厦 一房一厅 业主诚卖 红本无税,飞扬时代大厦 一房一厅 业主诚卖 红本无税;售价：210万元（44671元/㎡）；房贷：首付约62万月供约（7855元）；产权：商品房（70年产权）2005年建；类型：普通住宅 null 中层/共29层；装修：简单装修朝南；,65,210.0,44671,1室1厅1卫,47.01,南,中层/共29层,简单装修,70年,2005年,本人是     1，户型方正，实用率高，视野好，红本在手。     2，小区近华强北，华强南，各大市场，地铁，交通，周边设施齐全，有不错的学校可以就读。     3，本人从事地产行业已有6年，主打华强南，华强北，周边几十个小区，例如，飞扬时代，     中电大院，金宝城大厦，下步庙北区，赛格苑，等等；     欢迎你，有个房产的所有问题我很乐意为你解答,业主诚心放卖，近期需要资金周转，欢迎随时看房,收取服务费：最高10500元(≤0.5%)本人承诺是。1，本人从事地产行业已有6年，主打华强南，华强北，周边几十个小区，例如，飞扬时代，中电大院，金宝城大厦，下步庙北区，赛格苑，等等；欢迎你，有个房产的所有问题我很乐意为你解答,深圳市城乡房产管理局：21475724578,63万（月供6026元/月）,48368.0元/㎡,福田－华强南,2.90元/平米/月,7.3,30.0,室内150位 室外20位；车位费：室内250.00元/月 室外110.00元/月,1,1,1,4,2,29,2,70,2005,63,6026,48368,6,44,215,72,139,182,46,341,76,208,66,310
坪山沙湖地铁口   高端写字楼  复试精装房  龙光玖云著,坪山沙湖地铁口   高端写字楼  复试精装房  龙光玖云著;售价：112万元（30270元/㎡）；房贷：首付约33万月供约（4193元）；产权：商品房（40年产权）2015年建；类型：公寓 板塔结合 中层/共33层；装修：精装修朝南；,5,112.0,30270,2室2厅1卫,37.0,南,中层/共33层,精装修,40年,2015年,房源亮点：小区绿化高，空气质量好，长期居住有益身心健康。房源户型方正，赠送大，使用率高。楼层便利，采光通透，深业物业，实力品牌，保障住户安全。户型简介：房子是精装修的，保养的一般，户型设计比较合理，实用率很好装修描述：房子是精装修的，家私家电全部换新的进来。3月出到位,业主上门放盘，看房方便钥匙在手。业主诚意出售，房子之前是自己住的，想把这套房子卖换套更大的房子。,收取服务费：最高5600元(≤0.5%)1.本人有4年从事房经验，专注龙岗坪山、龙岗、惠州的一手二手房，熟悉惠州坪山龙岗所有楼盘，对市场和房价走势有独特见解，尤其擅长和业主沟通议价。2.熟练掌握一手二手房交易流程！找我买房将给您提供专业服务，买房省时、省心、省事！3.一个电话，为您节省不必要的时间，高效专业帮您找到温馨的家园，专业专注诚信乃是从业根本，您的置业专家。,深圳市城乡房产管理局：暂未完成认证,33.6万（月供3215元/月）,27074.0元/㎡,坪山新区－坪山,0.00元/平米/月,0.0,0.0,1394套在租,2,2,1,4,2,33,3,40,2015,33,3215,27074,1,11,16,96,38,205,48,47,372,60,128,242
麒麟花园南向大2房 位置安静 南山实验中小学随时使用,麒麟花园南向大2房 位置安静 南山实验中小学随时使用;售价：700万元（81395元/㎡）；房贷：首付约209万月供约（26059元）；产权：商品房（70年产权）2002年建；类型：普通住宅 null 中层/共16层；装修：精装修朝南；,5,700.0,81395,2室1厅1卫,86.0,南,中层/共16层,精装修,70年,2002年,欢迎光临我的网上店铺，本人所发房源都与业主深度沟通过。（1）户型相当漂亮，标准2房，小卧室轻松可放1.5米的床，还能放衣柜，全明结构，使用率超高（2）安静舒适，采光通风效果好（3）室内装修普通，买来自住，稍微装下就可，出租刷下墙就可以，租金8000左右。（4）学位情况：学位已空出，此房买来就可申请使用。（5）产权情况：房子产权清晰，红本在手，费用低，过户快！（6）环境情况：成熟社区，周边配套齐全，应有尽有，三大公园环绕,房东置换，诚心出售，价格可以再谈，欢迎看房，随时恭候。,"收取服务费：最高70000元(≤1%)本人专业代理南山实验学位+南外学位房，熟知周边所有在卖房源！想了解更多的房源，请点击我的头像进入我的网上店铺，也可直接电.话询问，好房尽在你手中！【精鹰俱乐部】资深物业顾问汪超，为你全程服务,很高兴随时为您服务！",深圳市城乡房产管理局：暂未完成认证,210万（月供20091元/月）,93385.0元/㎡,南山－南头,0.80元/平米/月,2.15,50.0,858套在租,2,1,1,4,2,16,3,70,2002,210,20091,93385,11,10,73,184,94,272,258,333,33,125,265,283
南溪新苑!61平355万!难得一套出售!新洲吉之岛后门!,南溪新苑!61平355万!难得一套出售!新洲吉之岛后门!;售价：355万元（58196元/㎡）；房贷：首付约107.1万月供约（13157元）；产权：商品房（70年产权）2006年建；类型：普通住宅 板楼 低层/共20层；装修：精装修朝北；,13,355.0,58196,2室2厅1卫,61.0,北,低层/共20层,精装修,70年,2006年,1、此房北向，格局相当漂亮，卧室采用飘窗窗户，厨房也带有个小阳台，好摆洗衣机和零碎小东西。2、户型为小两房，位置独特，视野开阔，空气清新，适合居家过渡。3、清晨时，您站在客厅里，沐浴着旭日的光辉，精神饱满舒畅啊！4、本房价位，唯/一几套抄底价的好房，有的时候买房真的也是一种缘分。,业主因工作调动诚心出售，全力过户，只求卖出，价格还可以谈。,经纪人服务：有钥匙、免费保洁一次收取服务费：最高71000元(≤2%)深圳市安阳经纪有限公司-宋乐祎，专/业从事福田南经纪工作10年，对新洲、石厦、益田等商圈二手买卖房和租赁房源都熟悉和专/业，并免费有代理深圳、惠州、东莞、等地的一手新房。,深圳市城乡房产管理局：暂未完成认证,106.5万（月供10189元/月）,59084.0元/㎡,福田－新洲,2.60元/平米/月,3.2,40.0,室内29位 室外37位,2,2,1,8,3,20,3,70,2006,106,10189,59084,6,38,2,169,191,1,165,63,94,260,124,254
通燃气不限贷41平单价3开头，首付4.5成精装民电，大运中心,通燃气不限贷41平单价3开头，首付4.5成精装民电，大运中心;售价：145万元（35365元/㎡）；房贷：首付约43万月供约（5413元）；产权：商住两用（70年产权）2019年建；类型：普通住宅 null 高层/共23层；装修：精装修朝东南；,4,145.0,35365,1室1厅1卫,41.0,东南,高层/共23层,精装修,70年,2019年,启迪协信科技园共四期，在售二期41-67-70平1-2房带阳台，带精装，不限购不限贷，通燃气，商业用水，居民用电，2020年10月入伙，首付4.5成贷5.5成，无需名额，接送。,买新房，省税省事省！专看房，享公司团购优惠价格！,收取服务费：最高14500元(≤1%)嗨，我叫黄月娥！本人做事诚恳、实事求是！专业从事深圳一手新房，可享团购优惠，专车接受看房服务，熟悉交易办理手续整个过程，一站式服务让您省心（期待您的联系WX同号）,深圳市城乡房产管理局：暂未完成认证,43.5万（月供4160元/月）,35530.0元/㎡,龙岗区－大运,0.00元/平米/月,5.7,30.0,400,1,1,1,9,1,23,3,70,2019,43,4160,35530,8,31,46,182,45,18,17,337,372,309,251,145
宝安 沙井新桥 复式精装2房 通燃气有阳台 近地铁口 带返租,宝安 沙井新桥 复式精装2房 通燃气有阳台 近地铁口 带返租;售价：120万元（40000元/㎡）；房贷：首付约35万月供约（4511元）；产权：商品房（70年产权）2016年建；类型：普通住宅 塔楼 中层/共23层；装修：精装修朝南；,7,120.0,40000,3室2厅1卫,30.0,南,中层/共23层,精装修,70年,2016年,（保利达.小行星）不限购不限贷户户阳台通燃气20平：一房一厅一卫一阳台30平：两房一厅一卫一阳台40平：三房两厅两卫一阳台56平：三房两厅两卫一阳台70平：四房两厅两卫一阳台,项目位于沙井新桥立交东侧，毗邻广深高速新桥高速口。占地约3万平方米，建筑面积约13.5万平方米，容积率3.26，打造集商务公寓、创享办公、缤纷商业于一体的商务综合体。项目在规划设计上遵循现代都市空间美学原则，打造下沉式“双首层”商业广场、台地风情园林生态系统、屋顶花园等共享配套，实现众多功能的高效外延，满足深圳青年社交、商务双重需求，打造新桥生活、商务、娱乐聚集地。,收取服务费：最高0元(≤0%)本人从事房地产多年，掌握专业的二手过户流程，让您安全过户无纠纷！专业代理：深圳、东莞、中山、惠州一手二手房源,深圳市城乡房产管理局：暂未完成认证,36万（月供3445元/月）,37977.0元/㎡,宝安－松岗,5.20元/平米/月,3.26,40.0,13套在租,3,2,1,4,2,23,3,70,2016,36,3445,37977,9,68,8,312,124,309,6,47,371,372,78,30
（新出）低调太久，是时候该出手了海怡东方，高品质生活,（新出）低调太久，是时候该出手了海怡东方，高品质生活;售价：950万元（123810元/㎡）；房贷：首付约284万月供约（35346元）；产权：商品房（70年产权）2004年建；类型：普通住宅 板楼 低层/共25层；装修：简单装修朝北；,29,950.0,123810,2室2厅1卫,76.73,北,低层/共25层,简单装修,70年,2004年,"房源亮点：花园式大社区，安静宜居，04年竣工、746户、500个车位、以多层、小高层、高层错落有致的低,密度布局，高，有游泳池、篮球场、羽毛球场等设施，适合居家.户型简介：装修，保养很好，环境干净舒适，适合居住。装修描述：业主的装修保养都很好，次卧打了一个书柜，可以装多的东西，阳台和客厅一个大玻璃门，采光好，视野好，居家温馨。",业主是因为工作调动需要置换，因为业主公司需要调动到浙江，需要将房子出售，也是一手业主，对业主来说很有感情从结婚生子到高升，一步步逗走的很顺利，现在公司发展的更加大，因为发展需要，诚心出售。对于价格和首期款，业主都没有太多的要求，因为业主公司搬走还有一年时间所以首期款可以接受很长。看房的话一般都方便，女业主是家庭主妇，基本都在家。业主原话：只需要卖一个市场价合适可以再让点价格也没问题，卖给有缘份的客户,收取服务费：最高47500元(≤0.5%)本人何佳豪广东梅州客家人2017年6月毕业于深圳大学工商管理专业2018年9月加入乐有家南山纯大学生团队，立志革新行业风气，让客户业主因为有了我们大学生团队的存在而有更多更好的选择！我的工牌号是292387，欢迎您对我的服务进行指导和监督！用心只为您顺心详情联系乐有家何佳豪,深圳市城乡房产管理局：暂未完成认证,285万（月供27264元/月）,123779.0元/㎡,南山－科苑,3.20元/平米/月,2.66,30.0,746个车位,2,2,1,8,3,25,2,70,2004,285,27264,123779,11,35,213,88,325,176,257,214,101,41,345,184
"龙华地铁口,满四年,业主诚心出售","龙华地铁口,满四年,业主诚心出售;售价：487万元（36202元/㎡）；房贷：首付约147.1万月供约（18039元）；产权：其他（70年产权）2007年建；类型：普通住宅 板楼 中层/共8层；装修：简单装修朝南；",3,487.0,36202,3室2厅1卫,134.52,南,中层/共8层,简单装修,70年,2007年,1.锦绣花园位于龙华区，中环路与建设路交汇处，坐拥繁华，离地铁口尽只有百步之遥，2.小区周边配套设施完善，一切生活之需近在。3.幼儿园：银泉双语幼儿园、小精英幼儿园 中小学：龙华中学、中英文实验、上芬小学、新华中学、龙华中学 大学：深圳大学，让您的行子赢在起跑线上4. ：华富市场、佳华、桦润万家、永安南城百货、建安百货、盈佳百货等大型满足您日常的 购物需求 5.：明和堂药业、宝华药行、海王星辰健康药房、一致药店富丽华分店、荣峰大药房、龙华人民 ，为您和您的家人保驾护航6.银行：中国邮政 银行：工商银行、建设银行、中国银行 其他：廷苑酒店、民间瓦岗煨汤馆 小区内部配套：小区内,业主诚心出售此房，欢迎您看房，如需了解其他信息请与我联系。,收取服务费：最高97400元(≤2%)本人做房产多年，一直本着专业的房产知识，为您服务，我会在短的时间内帮您买好满意的房子，不让您错失任何好房子，更不让您每天为买房的事烦心，欢迎随时拨打我电话。,深圳市城乡房产管理局：暂未完成认证,146.1万（月供13977元/月）,49711.0元/㎡,龙华新区－龙华,2.80元/平米/月,3.71,43.0,453个停车位,3,2,1,4,2,8,2,70,2007,146,13977,49711,10,2,340,107,54,217,388,354,271,359,131,274
大运新城，中粮祥云，保留少量现楼，送装修，有天然气，带阳台,大运新城，中粮祥云，保留少量现楼，送装修，有天然气，带阳台;售价：232.5万元（35769元/㎡）；房贷：首付约69万月供约（8677元）；产权：商品房（70年产权）2019年建；类型：公寓 null 中层/共20层；装修：精装修朝东；,40,232.5,35769,2室2厅1卫,65.0,东,中层/共20层,精装修,70年,2019年,打造城市资产综合体，写字楼公寓住宅一应俱全，一期占地4.8万平方，总建面积48万平方，一到三层为商业，四层为空中花园，地下一层为商业设备用房，地下二三为停车场（2）一手新房，开发商直接售，税费低，手续简单；国企中建四局承建，房屋质量保证，中粮自己物业，放心舒心；优秀设计团队打造，通风通光良好（,业1】龙岗中轴地标综合体 ，地处龙城、大运新城双核交汇板块，占位龙岗大道头排，背靠龙翔大道，区域价值炙手可热。【2】城市动脉 地铁口物业紧邻地铁3号线爱联站，以及正在建设中的14、16号地铁线，周边四大干道环绕，更有水官、机荷等高速助力，30多条公交线路轻松通达城市每个角落【3】48万㎡的都市生活范本约8万㎡旗舰商业于多业态于一体，满足一站式工作生活、休闲、购物需求，打造缤纷万象的都市生活主场。,收取服务费：最高11625元(≤0.5%)从事地产多年，熟悉周边房源，欢迎资讯2周边笋盘，桂芳园2房245万起，怡乐花园60平2房只卖200万，康桥花园一期68平230万，二期71平235万左右，87平朝南3房电梯高层285万起,深圳市城乡房产管理局：暂未完成认证,69.75万（月供6673元/月）,38921.0元/㎡,龙岗区－龙岗中心城,4.20元/平米/月,4.64,30.0,1861套在租,2,2,1,3,2,20,3,70,2019,69,6673,38921,8,32,241,95,22,119,277,128,330,126,77,366
我想有个家，一个不需要华丽的地方 有欢声笑语就好 看房方便,我想有个家，一个不需要华丽的地方 有欢声笑语就好 看房方便;售价：168万元（32307元/㎡）；房贷：首付约50万月供约（6263元）；产权：商品房（70年产权）2003年建；类型：普通住宅 塔楼 高层/共33层；装修：精装修朝北；,10,168.0,32307,2室1厅1卫,52.0,北,高层/共33层,精装修,70年,2003年,户型通透、很方正，设计很合理，实用率很高。带大阳台，通风采光很好，环境安静。诚兴生活超市、翠景超市、翠景超市、多多福购物广场； 医院 广仁堂门诊部、罗湖区妇幼保健院大松泉社区健康服务中心、罗湖区妇幼保健院木棉岭社区健康服务中心、罗湖区慢病院清水河社区健康服务中心、深圳仁康医院、罗湖区慢病院草埔西社区健康服务中心、刘月友诊所、冯鹏飞中医内科诊所、黄成团联合诊所、罗湖区妇幼保健院草埔东社区健康服务中心；,业主很善良，很好沟通。为人处事做的很好，邻居特别和睦，素质都很高，讲话很文明，大事小事，都会帮忙。业主想换大房，所以急着出售。有意向可以联系，，假一赔⑩,收取服务费：最高8400元(≤0.5%)用我真诚服务，还您满意笑容。我们做为乐有家人，时刻提醒自己要做到七诺七保。做行业的旗帜，标杆。我是乐有家小谈。用我的热情服务，换来您满意笑容,深圳市城乡房产管理局：暂未完成认证,50.4万（月供4820元/月）,36133.0元/㎡,罗湖－草埔,2.00元/平米/月,7.0,30.0,本小区有150个停车位,2,1,1,8,1,33,3,70,2003,50,4820,36133,7,20,31,285,363,374,45,240,208,63,18,196
